款号,SKU数量,颜色/码数示例
20251119-21,4,黑色;L / 黑色;M / 黑色;S
2305S22,6,黑色;M / 白色;M / 黑色;L
247W16,1,宝蓝;30
2633S23,2,绿色;M / 黑色;M
2675S23,16,青灰;XL / 青灰;L / 青灰;M
2752S23,3,军绿迷彩;XL / 军绿迷彩;L / 军绿迷彩;M
2925TW20,6,黑色;L / 黑色;M / 黑色;XL
2982S23,12,芭比粉;XXL / 芭比粉;XL / 芭比粉;L
2983S23,12,黑色;XXL / 黑色;XL / 黑色;L
33103GS22,4,白色;M / 黑色;M / 卡其;M
3793TS21,4,深灰;34 / 深灰;28 / 深灰;32
3794TS21,8,花灰;S / 黑色;S / 花灰;M
3795TS21,8,黑色;S / 黑色;XL / 黑色;L
3796TS21,8,花灰;XL / 黑色;XL / 花灰;L
3799TS21,8,花灰;XL / 黑色;XL / 花灰;L
3801TS21,8,灰色;34 / 黑色;34 / 灰色;32
3802TS21,12,灰色;XL / 黑色;XL / 白色;XL
3803TS21,12,炭色;S / 黑色;S / 白色;S
3804TS21,12,蓝绿;XL / 卡其;XL / 炭色;XL
3805TS21,12,花灰;XL / 黑色;XL / 白色;XL
3806TS21,12,花灰;XL / 黑色;XL / 白色;XL
3807TS21,8,花灰;XL / 黑色;XL / 花灰;L
3902TW20,8,黑色;L / 黑色;M / 黑色;S
3936TW20,48,彩蓝;M / 黄色;M / 蓝绿;M
4022W21,4,花灰;M / 花灰;S / 花灰;L
4431W24,10,花灰;XXL / 花灰;XL / 花灰;L
4625W26,9,活性黑;L / 活性黑;M / 活性黑;XL
528DI1544,3,灰色;XL / 黑色;M / 黑色;L
5430TS21,3,图片色;M / 图片色;XL / 图片色;L
5433TS21,6,黑色;XL / 白色;XL / 黑色;L
5691W26,12,黑色;L / 黑色;M / 黑色;S
5821TS21,6,深绿;XL / 灰色;XL / 深绿;L
5822TS21,6,灰色;XL / 白色;XL / 灰色;L
6011W21,3,图片色;M / 图片色;L / 图片色;XL
6033GS21,8,卡其;L / 黑色;L / 白色;L
6071AE,6,黑色;L / 黑色;M / 黑色;XL
6081AE,8,黑色;L / 黑色;M / 黑色;XL
6083AE,8,灰色;L / 灰色;M / 灰色;XL
6085AE,8,黑色;L / 黑色;M / 黑色;XL
6086AE,8,黑色;L / 黑色;M / 黑色;XL
6087AE,8,白色;L / 白色;M / 白色;XL
6088AE,12,紫色;L / 紫色;M / 紫色;XL
